datetime_mdt,temp_F,rh_pct,wind_mph,gust_mph,wind_dir,pcp_accum_in,pcp_delta_in,solar_wm2
2026-01-01 00:06:00,38,18,15,20,S,9.65,0.0,0.0
2026-01-01 00:21:00,38,18,15,20,S,9.65,0.0,0.0
2026-01-01 00:36:00,38,18,15,19,S,9.65,0.0,0.0
2026-01-01 00:51:00,38,19,15,21,S,9.65,0.0,0.0
2026-01-01 01:06:00,38,20,14,19,S,9.65,0.0,0.0
2026-01-01 01:21:00,38,20,14,20,S,9.65,0.0,0.0
2026-01-01 01:36:00,38,20,13,17,S,9.65,0.0,0.0
2026-01-01 01:51:00,38,20,13,18,S,9.65,0.0,0.0
2026-01-01 02:06:00,38,20,13,17,S,9.65,0.0,0.0
2026-01-01 02:21:00,38,21,12,16,S,9.65,0.0,0.0
2026-01-01 02:36:00,38,21,12,17,S,9.65,0.0,0.0
2026-01-01 02:51:00,37,22,12,17,S,9.65,0.0,0.0
2026-01-01 03:06:00,37,22,11,15,S,9.65,0.0,0.0
2026-01-01 03:21:00,37,22,11,14,S,9.65,0.0,0.0
2026-01-01 03:36:00,37,22,11,15,S,9.65,0.0,0.0
2026-01-01 03:51:00,37,22,10,14,S,9.65,0.0,0.0
2026-01-01 04:06:00,37,22,10,13,S,9.65,0.0,0.0
2026-01-01 04:21:00,37,23,10,14,S,9.65,0.0,0.0
2026-01-01 04:36:00,37,24,9,15,S,9.65,0.0,0.0
2026-01-01 04:51:00,36,24,9,12,S,9.65,0.0,0.0
2026-01-01 05:06:00,37,25,12,15,S,9.65,0.0,0.0
2026-01-01 05:21:00,37,25,12,18,S,9.65,0.0,0.0
2026-01-01 05:36:00,37,25,13,17,S,9.65,0.0,0.0
2026-01-01 05:51:00,37,25,12,17,S,9.65,0.0,0.0
2026-01-01 06:06:00,37,25,13,17,S,9.65,0.0,0.0
2026-01-01 06:21:00,37,25,13,20,S,9.65,0.0,0.0
2026-01-01 06:36:00,37,26,14,20,S,9.65,0.0,0.0
2026-01-01 06:51:00,37,26,14,20,S,9.65,0.0,0.0
2026-01-01 07:06:00,36,27,13,17,S,9.65,0.0,0.0
2026-01-01 07:21:00,36,27,13,17,S,9.65,0.0,0.0
2026-01-01 07:36:00,36,28,12,17,S,9.65,0.0,0.0
2026-01-01 07:51:00,35,29,12,17,S,9.65,0.0,0.0
2026-01-01 08:06:00,35,31,13,20,S,9.65,0.0,0.0
2026-01-01 08:21:00,34,36,13,19,SSW,9.65,0.0,0.0
